流速	流速，是流体的流动速度。
救火	救火，是指扑灭火灾的行动。
庄王	庄王是东亚世界王的谥号之一。
孝王	孝王是东亚世界王的谥号之一。
卿士	卿士是中国古官名。又作卿史、卿事。
昭王	昭王是东亚世界王的谥号或封号之一。
殳姓	殳姓（殳，注音：ㄕㄨ。拼音：shū。
蹲厕	蹲厕是马桶的一种。用者需要蹲下使用。
灵公	灵公是中国古代诸侯（君主）的谥号之一。
齐豹	齐豹，是春秋时期卫国的司寇。齐恶之子。
炸弹	炸弹是一种填充有爆炸性物质的威力武器。
张奥	张奥，是一名中国足球运动员。司职后卫。
跳高	跳高是一种田赛竞技活动。又称急行跳高。
赤村	赤村是位于福冈县东部的一村。属田川郡。
谭林	谭林是苏格兰边区传奇民谣中的一个人物。
委蛇	委蛇，是传说中的一种蛇。此传说出自齐地。
合成	合成是指两个或以上的物质合而为一的过程。
一发	一发是日本麻将中的一种和牌的方式。1翻。
浮间	浮间是东京都北区的町名。已实施住居表示。
卯衣	卯衣是日本女性声优。主要为成人游戏配音。
吉姓	吉姓，是一个中文姓氏。收录在《百家姓》中。
班长	班长是班级、团体、组织中的领头人或带班人。
方天	方天，是一位马华文学重要作家。原名张海威。
法郎	法郎（Franc，简写：₣）是货币的一种。
臧儿	臧儿是西汉初燕王臧荼的孙女。汉武帝外祖母。
师奶	师奶是粤语对年纪大女性的称呼，太太的俗称。
佛音	佛音是佛教重要术语。佛音是佛说梵音之略称。
三班	三班是东汉初年为汉室作出贡献的班氏三父子。
庶长	庶长是中国古代官爵名。见于春秋时代至汉代。
宽延	宽延是日本的年号之一。在延享之后、宝历之前。
元龟	元龟是日本的年号之一。在永禄之后，天正之前。
丰姓	丰姓，是中国的一个姓氏。收录在《百家姓》中。
嘉永	嘉永是日本的年号之一。在弘化之后、安政之前。
刑部	刑部是中国古代官署名之一。其长官为刑部尚书。
明和	明和是日本的年号之一。在宝历之后、安永之前。
充容	充容是中国、越南帝王妃嫔称号。始于中国隋代。
龙河	龙河是长江的一级支流，位于中国重庆市东南部。
文政	文政是日本的年号之一。在文化之后、天保之前。
粉底	粉底，是化妆品的一种。主要会用在脸部和颈部。
进通	进通（623年）是唐朝初期领袖王摩沙的年号。
巴利	巴利是法国卡尔瓦多斯省的一个市镇，属于卡昂区。
菱形	菱形是四边相等的四边形。由菱叶片的形状而得名。
婆姨	婆姨是晋语地区对已婚女人的称谓。也可以指妻子。
充媛	充媛，是中国、越南帝王妃嫔称号。始于中国唐朝。
文花	文花是日本东京都墨田区的地名。已实施住居表示。
廷尉	廷尉（又称大理、作士），是中国古官名。秦初置。
栾姓	栾姓是中文姓氏之一，在百家姓中排行第243位。
布隆	布隆是法国卡尔瓦多斯省的一个市镇，属于卡昂区。
李逾	李逾，唐朝皇子，是唐代宗李豫第五子。生母不详。
布日	布日是法国卡尔瓦多斯省的一个市镇，属于卡昂区。
猪鬃	猪鬃是猪的鬃毛。猪毛品质最佳的是猪脖颈上的毛。
尚波	尚波是法国塞纳-马恩省的一个市镇，属于默伦区。
叙利	叙利是法国索恩-卢瓦尔省的一个市镇，属于欧坦区。
槐猪	槐猪，俗称乌猪，是福建省西南山区的家猪品种之一。
巴比	巴比是法国塞纳-马恩省的一个市镇，属于普罗万区。
波河	波河（Po；Padus）是意大利最长的一条河流。
仪凤	仪凤（六月）是唐高宗李治的第九个年号。共计4年。
修媛	修媛，是中国、越南帝王妃嫔称号。始于中国南北朝。
萨日	萨日是法国索恩-卢瓦尔省的一个市镇，属于卢昂区。
康历	康历是日本南北朝时代的年号之一。是北朝方使用的。
西楼	西楼是一位独立音乐人。西楼是他的艺名，本名不详。
冷姓	冷姓是中文姓氏之一。在《百家姓》中排第377位。
伊热	伊热是法国索恩-卢瓦尔省的一个市镇，属于马孔区。
敬德	敬德，是中国思想史、哲学史上一个很重要的转捩点。
让先	让先，又称定先、授先、受先，是围棋的一种对弈制度。
索菲	索菲（Sophie，意为智慧）是人名索菲娅的变体。
曹衮	曹衮，曹操的儿子，母亲是杜夫人。曹魏时代封中山王。
长板	长板是滑板运动的一种，由滑浪及技术板共同演变出来。
垣姓	垣姓是一个中国罕见的姓氏。先祖是汉朝西河太守垣恭。
鲁系	鲁系是北洋军阀中的派系。对鲁系的定义有不同的说法。
海狮	海狮是属于海狮科的海洋哺乳类动物，统合为海狮亚科。
祥兴	祥兴（二月六日）是南宋卫王赵昺的年号，共计1年余。
静脉	静脉是循环系统中把血液从身体各部分送回心脏的血管。
北凉	北凉（397年或401年－439年）是十六国之一。
棒金	棒金是将棋的战法之一。是对抗石田流居飞车方的战法。
八政	八政是中国古代国家施政的八个方面。其内容说法不一。
有道	有道是一个网络搜索引擎。由中国互联网公司网易推出。
吨位	吨位是船舶的载货量。该术语来自对酒桶或酒桶的税收。
溺鬼	溺鬼，是指溺死的人变的鬼。因为掉落在水中溺死而变。
曳莽	曳莽，是唐朝初年薛延陀的贵族。真珠可汗夷男的儿子。
风音	风音（かざね）是日本的女性配音员。主要出演成人游戏。
李运	李运，唐朝皇子，是唐代宗李豫第十五子。他的生母不详。
次韵	次韵，又称步韵，是和韵的一种。和韵有同韵与次韵之分。
辛姓	辛姓，是中国的一个姓氏。在《百家姓》中排第379位。
贴目	贴目（コミ）是围棋规则之一。围棋的游戏规则形成先手。
六镇	六镇，又称北镇，是北魏主要军事性统治防御单位的统称。
富谷	富谷是东京都涩谷区的一个地点。有富谷一丁目和二丁目。
周进	周进，是中国古典小说《儒林外史》最早登场的人物之一。
永代	永代是东京都江东区的町名。邮递区号135-0034。
礼部	礼部是中国古代官署之一，六部之一。其长官为礼部尚书。
傛华	傛华，又作容华，是中国、越南帝王妃嫔称号。汉朝始设。
光德	光德（十二月）是朝鲜半岛高丽王朝国王光宗王昭之年号。
昭媛	昭媛，是中国、朝鲜、越南帝王妃嫔称号。始于中国唐代。
赵观	赵观，是郑丰的武侠小说《天观双侠》中的二位主角之一。
私法	私法，相对于公法，一般而言指的是规范私权关系的法律。
芝区	芝区是日本于1878年到1947年设置在东京的一个区。
